Tran #,Date,Card Type,Amount,Items,# of Items,Date_Only
17963435300,2024-01-04 17:05:00,Visa (Apple Pay Cash EMV),2.0,0019($2.00),1.0,2024-01-04
17963656572,2024-01-04 18:13:00,Visa (EMV Contactless),4.0,000C($4.00),1.0,2024-01-04
17963760563,2024-01-04 18:51:00,Visa (Apple Pay EMV),4.0,0006($4.00),1.0,2024-01-04
17964014620,2024-01-04 20:40:00,Cash,2.0,001B($2.00),1.0,2024-01-04
17964015769,2024-01-04 20:40:00,Cash,2.0,0024($2.00),1.0,2024-01-04
17969107594,2024-01-05 20:03:00,Cash,2.0,001B($2.00),1.0,2024-01-05
17969106943,2024-01-05 20:03:00,Cash,2.0,001B($2.00),1.0,2024-01-05
17969137140,2024-01-05 20:16:00,Visa (Apple Pay EMV),3.0,0016($3.00),1.0,2024-01-05
17971972710,2024-01-06 16:20:00,Visa (EMV Contactless),4.0,000C($4.00),1.0,2024-01-06
17972234853,2024-01-06 18:01:00,Cash,2.0,0023($2.00),1.0,2024-01-06
17972245563,2024-01-06 18:05:00,Cash,2.0,0024($2.00),1.0,2024-01-06
17972490265,2024-01-06 20:08:00,Visa (Google Pay EMV),1.0,0029($1.00),1.0,2024-01-06
17974111326,2024-01-07 12:57:00,Visa (EMV Contactless),2.0,0018($2.00),1.0,2024-01-07
17974946579,2024-01-07 17:59:00,Visa (Apple Pay EMV),2.0,0019($2.00),1.0,2024-01-07
17975162376,2024-01-07 20:00:00,MasterCard (Swiped),2.0,0018($2.00),1.0,2024-01-07
17975163748,2024-01-07 20:01:00,MasterCard (Swiped),2.0,001C($2.00),1.0,2024-01-07
17975168653,2024-01-07 20:04:00,Cash,2.0,0023($2.00),1.0,2024-01-07
17977922273,2024-01-08 11:02:00,Visa (Apple Pay EMV),4.0,"0018($2.00), 0018($2.00)",2.0,2024-01-08
17980010355,2024-01-08 18:23:00,Cash,2.0,001B($2.00),1.0,2024-01-08
17980007637,2024-01-08 18:23:00,Cash,2.0,0025($2.00),1.0,2024-01-08
17980084479,2024-01-08 18:52:00,MasterCard (EMV Contactless),2.0,0025($2.00),1.0,2024-01-08
17980422376,2024-01-08 21:38:00,Visa (Apple Pay EMV),2.0,0025($2.00),1.0,2024-01-08
17980502845,2024-01-08 22:33:00,Visa (Apple Pay EMV),1.0,002F($1.00),1.0,2024-01-08
17985726861,2024-01-09 23:13:00,Cash,2.0,0025($2.00),1.0,2024-01-09
17990913065,2024-01-10 20:10:00,Cash,2.0,001A($2.00),1.0,2024-01-10
17990914461,2024-01-10 20:10:00,Cash,2.0,001A($2.00),1.0,2024-01-10
17996566448,2024-01-11 20:01:00,Cash,2.0,001A($2.00),1.0,2024-01-11
17996567687,2024-01-11 20:01:00,Cash,2.0,001A($2.00),1.0,2024-01-11
18072980181,2024-01-28 08:47:00,Visa (Apple Pay EMV),1.5,0010($1.50),1.0,2024-01-28
18074727880,2024-01-28 18:20:00,Visa (Swiped),1.5,000E($1.50),1.0,2024-01-28
18074915666,2024-01-28 20:02:00,Visa (Apple Pay EMV),3.0,"0010($1.50), 0010($1.50)",2.0,2024-01-28
18075940897,2024-01-29 06:13:00,Visa (EMV Contactless),5.25,"0010($1.50), 0001($3.75)",2.0,2024-01-29
18078607332,2024-01-29 12:50:00,Cash,1.5,0011($1.50),1.0,2024-01-29
18088706284,2024-01-31 09:27:00,Visa (Apple Pay EMV),1.5,0011($1.50),1.0,2024-01-31
18090153266,2024-01-31 12:36:00,Visa (Apple Pay EMV),2.0,001A($2.00),1.0,2024-01-31
18091761876,2024-01-31 18:07:00,Visa (Apple Pay EMV),2.0,001B($2.00),1.0,2024-01-31
18098054166,2024-02-01 20:12:00,Visa (Apple Pay EMV),1.0,000C($1.00),1.0,2024-02-01
18098058200,2024-02-01 20:13:00,Visa (Apple Pay EMV),1.0,000C($1.00),1.0,2024-02-01
18104005431,2024-02-03 00:22:00,Visa (Apple Pay EMV),4.5,"0010($1.50), 0012($1.50), 0012($1.50)",3.0,2024-02-03
18105990863,2024-02-03 13:11:00,Visa (EMV Contactless),1.0,000B($1.00),1.0,2024-02-03
18106085537,2024-02-03 13:34:00,Visa (EMV Contactless),1.0,000A($1.00),1.0,2024-02-03
18106966716,2024-02-03 18:04:00,Visa (Apple Pay EMV),1.5,0012($1.50),1.0,2024-02-03
18108864240,2024-02-04 12:15:00,Visa (Apple Pay EMV),1.5,000F($1.50),1.0,2024-02-04
18119300446,2024-02-06 11:54:00,Visa (Apple Pay EMV),1.5,000F($1.50),1.0,2024-02-06
18121535093,2024-02-06 20:07:00,Visa (Apple Pay EMV),1.5,0011($1.50),1.0,2024-02-06
18121536310,2024-02-06 20:08:00,Visa (Apple Pay EMV),1.5,0011($1.50),1.0,2024-02-06
18121683752,2024-02-06 21:20:00,Visa (Apple Pay EMV),4.5,"000E($1.50), 000E($1.50), 000E($1.50)",3.0,2024-02-06
18121684977,2024-02-06 21:21:00,Visa (Apple Pay EMV),4.5,"000F($1.50), 000F($1.50), 0011($1.50)",3.0,2024-02-06
18125514567,2024-02-07 12:44:00,Visa (Apple Pay EMV),1.5,000E($1.50),1.0,2024-02-07
18127579181,2024-02-07 21:35:00,Visa (Apple Pay EMV),4.0,0014($4.00),1.0,2024-02-07
18127581053,2024-02-07 21:36:00,Visa (Apple Pay EMV),4.0,0014($4.00),1.0,2024-02-07
18131441664,2024-02-08 12:43:00,Visa (EMV Contactless),2.5,"0012($1.50), 000B($1.00)",2.0,2024-02-08
18137207922,2024-02-09 12:59:00,Visa (EMV Contactless),1.5,000E($1.50),1.0,2024-02-09
18138057000,2024-02-09 15:57:00,Cash,4.0,0014($4.00),1.0,2024-02-09
18138556386,2024-02-09 18:16:00,Visa (Apple Pay EMV),4.0,0007($4.00),1.0,2024-02-09
18145078067,2024-02-11 19:17:00,Visa (EMV Contactless),4.0,0015($4.00),1.0,2024-02-11
18147864912,2024-02-12 10:47:00,Visa (Apple Pay EMV),1.5,000E($1.50),1.0,2024-02-12
18149721541,2024-02-12 16:12:00,Visa (EMV Contactless),1.0,000C($1.00),1.0,2024-02-12
18150458962,2024-02-12 20:14:00,Visa (Apple Pay EMV),2.0,0018($2.00),1.0,2024-02-12
18155621021,2024-02-13 18:07:00,Visa (Apple Pay EMV),2.0,001C($2.00),1.0,2024-02-13
18159676704,2024-02-14 13:04:00,Visa (Apple Pay EMV),2.0,001A($2.00),1.0,2024-02-14
18160961330,2024-02-14 18:23:00,Visa (Swiped),3.75,0003($3.75),1.0,2024-02-14
18164974734,2024-02-15 12:29:00,Visa (Apple Pay EMV),2.0,0017($2.00),1.0,2024-02-15
18166580217,2024-02-15 18:04:00,Cash,2.0,001C($2.00),1.0,2024-02-15
18166612923,2024-02-15 18:14:00,Visa (Swiped),3.75,0003($3.75),1.0,2024-02-15
18188503377,2024-02-20 15:45:00,Visa (Apple Pay EMV),4.0,0014($4.00),1.0,2024-02-20
18189020861,2024-02-20 18:00:00,Visa (Apple Pay EMV),1.0,000C($1.00),1.0,2024-02-20
18189455649,2024-02-20 20:50:00,Visa (EMV Contactless),3.75,0000($3.75),1.0,2024-02-20
18189458361,2024-02-20 20:52:00,Visa (EMV Contactless),3.75,0000($3.75),1.0,2024-02-20
18194818283,2024-02-21 17:53:00,Visa (EMV Contactless),4.0,0015($4.00),1.0,2024-02-21
18195423443,2024-02-21 22:00:00,Visa (Apple Pay EMV),2.0,001A($2.00),1.0,2024-02-21
18200277456,2024-02-22 15:55:00,MasterCard (EMV Contactless),3.75,0003($3.75),1.0,2024-02-22
18200565360,2024-02-22 17:03:00,Visa (EMV Contactless),1.0,000B($1.00),1.0,2024-02-22
18200580983,2024-02-22 17:07:00,Visa (EMV Contactless),4.0,0016($4.00),1.0,2024-02-22
18200828735,2024-02-22 18:18:00,MasterCard (EMV Contactless),3.75,0003($3.75),1.0,2024-02-22
18206431843,2024-02-23 18:29:00,Visa (EMV Contactless),6.0,"001A($2.00), 0016($4.00)",2.0,2024-02-23
18206473844,2024-02-23 18:44:00,Visa (Apple Pay EMV),1.5,0028($1.50),1.0,2024-02-23
18206685172,2024-02-23 20:04:00,Visa (Apple Pay EMV),4.0,0016($4.00),1.0,2024-02-23
18209058006,2024-02-24 12:52:00,Visa (EMV Contactless),1.0,000A($1.00),1.0,2024-02-24
18210150100,2024-02-24 18:06:00,Visa (Swiped),2.0,0019($2.00),1.0,2024-02-24
18252789198,2024-03-04 13:24:00,Cash,3.75,0000($3.75),1.0,2024-03-04
18253519707,2024-03-04 15:43:00,Cash,2.0,0023($2.00),1.0,2024-03-04
18253879022,2024-03-04 17:10:00,Visa (Apple Pay EMV),4.5,"002E($1.50), 002E($1.50), 002E($1.50)",3.0,2024-03-04
18253880950,2024-03-04 17:11:00,Visa (Apple Pay EMV),4.5,"002F($1.50), 002F($1.50), 002D($1.50)",3.0,2024-03-04
18253882087,2024-03-04 17:11:00,Visa (Apple Pay EMV),4.5,"002D($1.50), 002C($1.50), 002C($1.50)",3.0,2024-03-04
18254239124,2024-03-04 19:04:00,Visa (Apple Pay EMV),1.5,0028($1.50),1.0,2024-03-04
18254274838,2024-03-04 19:17:00,Cash,2.0,0019($2.00),1.0,2024-03-04
18258020625,2024-03-05 11:48:00,Visa (Apple Pay EMV),2.0,0025($2.00),1.0,2024-03-05
18258323982,2024-03-05 12:30:00,Cash,2.0,0019($2.00),1.0,2024-03-05
18258331479,2024-03-05 12:30:00,Cash,1.5,0030($1.50),1.0,2024-03-05
18258977389,2024-03-05 14:11:00,Visa (Apple Pay EMV),3.75,0000($3.75),1.0,2024-03-05
18259130813,2024-03-05 14:40:00,Cash,1.5,0030($1.50),1.0,2024-03-05
18259337145,2024-03-05 15:21:00,Cash,2.0,0022($2.00),1.0,2024-03-05
18260330786,2024-03-05 20:09:00,Visa (Apple Pay EMV),2.0,001F($2.00),1.0,2024-03-05
18263888824,2024-03-06 11:41:00,Cash,2.0,0021($2.00),1.0,2024-03-06
18264460159,2024-03-06 13:00:00,Visa (Apple Pay EMV),1.5,002B($1.50),1.0,2024-03-06
18266272223,2024-03-06 20:25:00,Visa (EMV Contactless),6.0,"0024($2.00), 0022($2.00), 0023($2.00)",3.0,2024-03-06
18266274380,2024-03-06 20:26:00,Visa (EMV Contactless),6.0,"0024($2.00), 0022($2.00), 0022($2.00)",3.0,2024-03-06
18266388187,2024-03-06 21:21:00,MasterCard (EMV Contactless),3.0,0010($3.00),1.0,2024-03-06
18272679381,2024-03-08 00:22:00,Cash,3.75,0001($3.75),1.0,2024-03-08
18276669691,2024-03-08 14:42:00,Cash,2.0,001A($2.00),1.0,2024-03-08
18276878311,2024-03-08 15:29:00,Visa (Apple Pay EMV),1.5,002B($1.50),1.0,2024-03-08
18277637140,2024-03-08 19:04:00,Visa (Apple Pay EMV),1.5,002A($1.50),1.0,2024-03-08
18278102422,2024-03-08 23:04:00,Cash,1.0,000A($1.00),1.0,2024-03-08
18279368531,2024-03-09 09:57:00,Visa (Apple Pay EMV),1.5,002A($1.50),1.0,2024-03-09
18283422530,2024-03-10 14:21:00,Visa (Swiped),2.0,0023($2.00),1.0,2024-03-10
18283424718,2024-03-10 14:22:00,Visa (Swiped),3.25,0005($3.25),1.0,2024-03-10
18283432846,2024-03-10 14:24:00,Visa (Swiped),2.0,001A($2.00),1.0,2024-03-10
18283439217,2024-03-10 14:26:00,Visa (Swiped),2.0,001A($2.00),1.0,2024-03-10
18284371585,2024-03-10 20:39:00,Visa (Apple Pay EMV),3.75,0002($3.75),1.0,2024-03-10
18287179550,2024-03-11 11:14:00,Visa (Apple Pay EMV),2.0,0023($2.00),1.0,2024-03-11
18287555926,2024-03-11 12:10:00,Cash,2.0,001C($2.00),1.0,2024-03-11
18287572521,2024-03-11 12:13:00,Cash,1.0,000B($1.00),1.0,2024-03-11
18287583624,2024-03-11 12:15:00,Cash,2.0,001E($2.00),1.0,2024-03-11
18288986344,2024-03-11 16:41:00,Cash,1.0,000C($1.00),1.0,2024-03-11
18292120735,2024-03-12 09:52:00,Visa (Apple Pay EMV),3.0,"002A($1.50), 002A($1.50)",2.0,2024-03-12
18292405700,2024-03-12 10:29:00,Cash,4.0,0014($4.00),1.0,2024-03-12
18293707128,2024-03-12 13:41:00,Visa (Apple Pay EMV),3.75,0001($3.75),1.0,2024-03-12
18294623193,2024-03-12 16:51:00,Cash,2.0,0023($2.00),1.0,2024-03-12
18298395079,2024-03-13 11:17:00,Visa (Apple Pay EMV),2.0,0025($2.00),1.0,2024-03-13
18299463246,2024-03-13 13:59:00,Cash,1.0,000C($1.00),1.0,2024-03-13
18304035395,2024-03-14 11:05:00,Cash,4.0,0015($4.00),1.0,2024-03-14
18305340303,2024-03-14 14:29:00,Cash,1.0,000C($1.00),1.0,2024-03-14
18306032251,2024-03-14 17:03:00,Visa (Swiped),1.5,000E($1.50),1.0,2024-03-14
18306103529,2024-03-14 17:22:00,Visa (Swiped),1.0,000C($1.00),1.0,2024-03-14
18306416777,2024-03-14 19:00:00,Cash,2.0,0025($2.00),1.0,2024-03-14
18306434764,2024-03-14 19:06:00,Visa (Apple Pay EMV),3.75,0001($3.75),1.0,2024-03-14
18306763290,2024-03-14 21:25:00,American Express (EMV Contactless),6.0,"0020($2.00), 0020($2.00), 0020($2.00)",3.0,2024-03-14
18306764103,2024-03-14 21:26:00,American Express (EMV Contactless),6.0,"0020($2.00), 0020($2.00), 0020($2.00)",3.0,2024-03-14
18310194836,2024-03-15 12:47:00,Cash,1.5,000E($1.50),1.0,2024-03-15
18310392299,2024-03-15 13:21:00,Visa (EMV Contactless),3.0,"000D($1.00), 0020($2.00)",2.0,2024-03-15
18311400790,2024-03-15 17:08:00,Cash,1.0,000B($1.00),1.0,2024-03-15
18311679701,2024-03-15 18:32:00,MasterCard (Swiped),2.5,"000E($1.50), 000D($1.00)",2.0,2024-03-15
18311811917,2024-03-15 19:18:00,Visa (EMV Contactless),2.0,001E($2.00),1.0,2024-03-15
18312041885,2024-03-15 20:59:00,Cash,1.0,000A($1.00),1.0,2024-03-15
18312113857,2024-03-15 21:36:00,Cash,2.0,0011($2.00),1.0,2024-03-15
18314130946,2024-03-16 12:38:00,MasterCard (EMV Contactless),2.0,001B($2.00),1.0,2024-03-16
18314851973,2024-03-16 15:48:00,MasterCard (EMV Contactless),1.0,000D($1.00),1.0,2024-03-16
18315394936,2024-03-16 19:01:00,Visa (EMV Contactless),2.0,0018($2.00),1.0,2024-03-16
18315415131,2024-03-16 19:09:00,MasterCard (EMV Contactless),1.0,000D($1.00),1.0,2024-03-16
18315611140,2024-03-16 20:51:00,Visa (EMV Contactless),2.0,0023($2.00),1.0,2024-03-16
18316681460,2024-03-17 10:06:00,Visa (Apple Pay EMV),2.0,0026($2.00),1.0,2024-03-17
18318633511,2024-03-17 21:59:00,American Express (EMV Contactless),1.5,0029($1.50),1.0,2024-03-17
18323771228,2024-03-18 18:51:00,Visa (Apple Pay EMV),3.75,0002($3.75),1.0,2024-03-18
18323793579,2024-03-18 18:59:00,Visa (Swiped),2.0,0011($2.00),1.0,2024-03-18
18323851764,2024-03-18 19:18:00,Visa (Apple Pay EMV),2.0,0011($2.00),1.0,2024-03-18
18324096705,2024-03-18 21:06:00,Cash,2.0,0026($2.00),1.0,2024-03-18
18324111291,2024-03-18 21:13:00,MasterCard (Swiped),3.25,0006($3.25),1.0,2024-03-18
18326889379,2024-03-19 10:30:00,Cash,2.0,0018($2.00),1.0,2024-03-19
18327782899,2024-03-19 12:30:00,Visa (Apple Pay EMV),2.0,0026($2.00),1.0,2024-03-19
18329629380,2024-03-19 19:02:00,Visa (Apple Pay EMV),2.0,0019($2.00),1.0,2024-03-19
18329634511,2024-03-19 19:04:00,Cash,2.0,0011($2.00),1.0,2024-03-19
18329927368,2024-03-19 21:05:00,MasterCard (Swiped),1.5,000E($1.50),1.0,2024-03-19
18330387818,2024-03-20 02:48:00,Cash,2.0,0011($2.00),1.0,2024-03-20
18333897740,2024-03-20 13:07:00,Cash,1.0,000D($1.00),1.0,2024-03-20
18335262610,2024-03-20 17:51:00,Visa (Swiped),2.0,0011($2.00),1.0,2024-03-20
18339218030,2024-03-21 11:43:00,Visa (Apple Pay EMV),2.0,0024($2.00),1.0,2024-03-21
18340849784,2024-03-21 16:25:00,Visa (EMV Contactless),3.0,"002A($1.50), 0029($1.50)",2.0,2024-03-21
18340865241,2024-03-21 16:29:00,MasterCard (EMV Contactless),7.5,"000F($3.00), 0010($3.00), 002A($1.50)",3.0,2024-03-21
18341267695,2024-03-21 18:16:00,American Express (EMV Contactless),2.0,0021($2.00),1.0,2024-03-21
18341272118,2024-03-21 18:18:00,Cash,2.0,0018($2.00),1.0,2024-03-21
18341372463,2024-03-21 18:52:00,Cash,2.0,0018($2.00),1.0,2024-03-21
18341627544,2024-03-21 20:27:00,Visa (Swiped),2.0,0012($2.00),1.0,2024-03-21
18341686498,2024-03-21 20:55:00,Cash,1.0,000D($1.00),1.0,2024-03-21
18341720518,2024-03-21 21:10:00,Visa (Apple Pay EMV),2.0,0026($2.00),1.0,2024-03-21
18345853537,2024-03-22 14:27:00,MasterCard (EMV Contactless),2.0,001C($2.00),1.0,2024-03-22
18346160974,2024-03-22 15:34:00,Visa (Swiped),2.0,001E($2.00),1.0,2024-03-22
18346552796,2024-03-22 17:14:00,Cash,2.0,0018($2.00),1.0,2024-03-22
18347161338,2024-03-22 20:48:00,Visa (Apple Pay EMV),2.0,0026($2.00),1.0,2024-03-22
18347173781,2024-03-22 20:55:00,Visa (Apple Pay EMV),2.0,0017($2.00),1.0,2024-03-22
18347178353,2024-03-22 20:57:00,Visa (Apple Pay EMV),2.0,001E($2.00),1.0,2024-03-22
18348996976,2024-03-23 11:25:00,Cash,2.0,0022($2.00),1.0,2024-03-23
18349417513,2024-03-23 13:05:00,MasterCard (EMV Contactless),2.0,0017($2.00),1.0,2024-03-23
18350350634,2024-03-23 17:33:00,MasterCard (EMV Contactless),2.0,001A($2.00),1.0,2024-03-23
18351909781,2024-03-24 10:08:00,Visa (EMV Contactless),2.0,0021($2.00),1.0,2024-03-24
18353801547,2024-03-24 21:12:00,Visa (EMV Contactless),2.0,001F($2.00),1.0,2024-03-24
18357261677,2024-03-25 12:35:00,Visa (Apple Pay Cash EMV),2.0,0025($2.00),1.0,2024-03-25
18359300525,2024-03-25 21:02:00,Visa (Apple Pay EMV),4.0,"0026($2.00), 0017($2.00)",2.0,2024-03-25
18363705202,2024-03-26 14:31:00,Cash,2.0,0012($2.00),1.0,2024-03-26
18363948773,2024-03-26 15:19:00,Cash,2.0,0022($2.00),1.0,2024-03-26
18364750000,2024-03-26 18:47:00,Cash,2.0,0021($2.00),1.0,2024-03-26
18364750958,2024-03-26 18:48:00,Cash,2.0,001F($2.00),1.0,2024-03-26
18364838700,2024-03-26 19:18:00,Cash,2.0,0023($2.00),1.0,2024-03-26
18365104721,2024-03-26 21:10:00,Cash,2.0,001A($2.00),1.0,2024-03-26
18367473734,2024-03-27 09:34:00,Visa (Apple Pay EMV),2.0,0026($2.00),1.0,2024-03-27
18368489271,2024-03-27 11:49:00,Visa (Apple Pay EMV),6.0,"0025($2.00), 0025($2.00), 0025($2.00)",3.0,2024-03-27
18369383179,2024-03-27 14:05:00,Cash,1.5,002A($1.50),1.0,2024-03-27
18370315449,2024-03-27 17:27:00,Visa (Swiped),2.0,0012($2.00),1.0,2024-03-27
18370415834,2024-03-27 17:55:00,Visa (Apple Pay EMV),2.0,0024($2.00),1.0,2024-03-27
18370919292,2024-03-27 20:58:00,Cash,2.0,0012($2.00),1.0,2024-03-27
18376026896,2024-03-28 17:05:00,Cash,2.0,001A($2.00),1.0,2024-03-28
18376030527,2024-03-28 17:05:00,Cash,3.25,0005($3.25),1.0,2024-03-28
18376063159,2024-03-28 17:14:00,Visa (Apple Pay EMV),2.0,0022($2.00),1.0,2024-03-28
18380015189,2024-03-29 13:44:00,Cash,2.0,0024($2.00),1.0,2024-03-29
18380138337,2024-03-29 14:10:00,Cash,2.0,001E($2.00),1.0,2024-03-29
18381195821,2024-03-29 19:02:00,Visa (Swiped),2.0,0012($2.00),1.0,2024-03-29
18381424611,2024-03-29 20:42:00,Visa (Apple Pay EMV),2.0,0023($2.00),1.0,2024-03-29
18381699680,2024-03-29 23:43:00,Visa (Apple Pay EMV),3.0,000F($3.00),1.0,2024-03-29
18382892278,2024-03-30 10:22:00,Cash,2.0,001E($2.00),1.0,2024-03-30
18383866089,2024-03-30 14:26:00,Visa (EMV Contactless),3.25,0006($3.25),1.0,2024-03-30
18384455029,2024-03-30 17:36:00,Visa (Apple Pay EMV),3.75,0002($3.75),1.0,2024-03-30
18384685818,2024-03-30 19:13:00,Visa (Apple Pay EMV),2.0,001B($2.00),1.0,2024-03-30
18384702833,2024-03-30 19:22:00,Cash,1.5,002A($1.50),1.0,2024-03-30
18384887421,2024-03-30 21:05:00,Visa (Swiped),2.0,001F($2.00),1.0,2024-03-30
18385037404,2024-03-30 23:06:00,MasterCard (Swiped),2.0,001B($2.00),1.0,2024-03-30
18386290692,2024-03-31 12:38:00,Visa (Apple Pay EMV),4.0,"001C($2.00), 001C($2.00)",2.0,2024-03-31
18387205230,2024-03-31 19:11:00,MasterCard (EMV Contactless),2.0,001A($2.00),1.0,2024-03-31
18387563840,2024-03-31 23:55:00,Cash,2.0,0021($2.00),1.0,2024-03-31
18390835528,2024-04-01 13:15:00,Cash,2.0,001F($2.00),1.0,2024-04-01
18392112318,2024-04-01 17:57:00,Visa (Apple Pay Cash EMV),2.0,0021($2.00),1.0,2024-04-01
18392301589,2024-04-01 19:00:00,Cash,2.0,001A($2.00),1.0,2024-04-01
18392347140,2024-04-01 19:15:00,Cash,2.0,001C($2.00),1.0,2024-04-01
18392596563,2024-04-01 21:03:00,Cash,3.75,0002($3.75),1.0,2024-04-01
18392625840,2024-04-01 21:17:00,Cash,1.0,0003($1.00),1.0,2024-04-01
18392625806,2024-04-01 21:17:00,MasterCard (Swiped),5.5,"0003($2.25), 0006($3.25)",2.0,2024-04-01
18396265580,2024-04-02 12:33:00,Visa (Google Pay EMV),2.0,0022($2.00),1.0,2024-04-02
18396269126,2024-04-02 12:33:00,Cash,2.0,0024($2.00),1.0,2024-04-02
18396850847,2024-04-02 14:05:00,Visa (Apple Pay Cash EMV),4.0,"001C($2.00), 001C($2.00)",2.0,2024-04-02
18397179627,2024-04-02 15:08:00,Cash,2.0,0024($2.00),1.0,2024-04-02
18397397436,2024-04-02 15:55:00,Visa (EMV Contactless),2.0,001F($2.00),1.0,2024-04-02
18398094278,2024-04-02 19:06:00,Cash,2.0,0021($2.00),1.0,2024-04-02
18400401942,2024-04-03 08:51:00,Visa (Apple Pay EMV),2.0,001B($2.00),1.0,2024-04-03
18403584307,2024-04-03 17:10:00,Visa (Apple Pay Cash EMV),2.0,001B($2.00),1.0,2024-04-03
18403587238,2024-04-03 17:11:00,Visa (Apple Pay Cash EMV),3.25,0003($3.25),1.0,2024-04-03
18403590974,2024-04-03 17:12:00,Visa (Apple Pay Cash EMV),2.0,001F($2.00),1.0,2024-04-03
18403857949,2024-04-03 18:29:00,MasterCard (EMV Contactless),4.5,"002A($1.50), 0010($3.00)",2.0,2024-04-03
18427505465,2024-04-08 17:55:00,Visa (EMV Contactless),3.25,0005($3.25),1.0,2024-04-08
18427502644,2024-04-08 17:55:00,Visa (EMV Contactless),3.25,0005($3.25),1.0,2024-04-08
18432918698,2024-04-09 15:51:00,Visa (EMV Contactless),3.25,0004($3.25),1.0,2024-04-09
18433000981,2024-04-09 16:08:00,Visa (Swiped),1.5,002A($1.50),1.0,2024-04-09
18433492822,2024-04-09 18:19:00,Visa (Apple Pay EMV),3.75,0002($3.75),1.0,2024-04-09
18450850078,2024-04-12 17:00:00,Visa (EMV Contactless),3.25,0004($3.25),1.0,2024-04-12
18481420356,2024-04-18 16:07:00,Visa (EMV Contactless),3.25,0007($3.25),1.0,2024-04-18
18505585375,2024-04-23 15:15:00,Visa (EMV Contactless),1.5,002A($1.50),1.0,2024-04-23
18524521444,2024-04-26 21:05:00,Visa (EMV Contactless),3.25,0006($3.25),1.0,2024-04-26
18524519882,2024-04-26 21:05:00,Visa (EMV Contactless),3.25,0004($3.25),1.0,2024-04-26
18550949560,2024-05-02 10:07:00,Cash,3.25,0003($3.25),1.0,2024-05-02
18553321913,2024-05-02 16:28:00,Cash,1.5,002A($1.50),1.0,2024-05-02
18558001997,2024-05-03 12:57:00,Visa (Apple Pay EMV),5.5,"001C($2.75), 001C($2.75)",2.0,2024-05-03
18558006149,2024-05-03 12:58:00,Visa (Apple Pay EMV),8.25,"001C($2.75), 001C($2.75), 001C($2.75)",3.0,2024-05-03
18559876729,2024-05-03 21:08:00,Cash,2.75,001B($2.75),1.0,2024-05-03
18559995722,2024-05-03 22:13:00,Visa (EMV Contactless),1.25,0011($1.25),1.0,2024-05-03
18560043139,2024-05-03 22:44:00,Visa (Apple Pay EMV),6.75,"0014($2.25), 0014($2.25), 0014($2.25)",3.0,2024-05-03
18562604464,2024-05-04 14:54:00,Cash,1.25,000F($1.25),1.0,2024-05-04
18562962981,2024-05-04 16:40:00,Visa (Apple Pay EMV),1.25,000F($1.25),1.0,2024-05-04
18563586957,2024-05-04 21:09:00,Cash,1.25,001A($1.25),1.0,2024-05-04
18563661663,2024-05-04 22:01:00,Visa (EMV Contactless),4.0,000A($4.00),1.0,2024-05-04
