Tran #,Date,Card Type,Amount,Items,# of Items,Date_Only
17968828308,2024-01-05 18:13:00,Cash,1.5,0D06($1.50),1,2024-01-05
17969108076,2024-01-05 20:03:00,Visa (Apple Pay EMV),1.25,0A00($1.25),1,2024-01-05
17969175482,2024-01-05 20:36:00,Cash,1.5,0E01($1.50),1,2024-01-05
17969174547,2024-01-05 20:36:00,Cash,1.5,0E00($1.50),1,2024-01-05
17971971575,2024-01-06 16:19:00,Visa (EMV Contactless),1.0,0B06($1.00),1,2024-01-06
17972238422,2024-01-06 18:02:00,Cash,1.0,0B06($1.00),1,2024-01-06
17972241576,2024-01-06 18:03:00,Visa (EMV Contactless),3.25,"0A00($1.25), 0B04($2.00)",2,2024-01-06
17973744238,2024-01-07 11:06:00,Visa (EMV Contactless),1.5,0D03($1.50),1,2024-01-07
17974174090,2024-01-07 13:15:00,Visa (EMV Contactless),1.25,0A00($1.25),1,2024-01-07
17974307219,2024-01-07 13:55:00,Cash,1.5,0D04($1.50),1,2024-01-07
17974308776,2024-01-07 13:56:00,Cash,1.0,0B06($1.00),1,2024-01-07
17974880601,2024-01-07 17:28:00,Cash,1.5,0E06($1.50),1,2024-01-07
17974943041,2024-01-07 17:57:00,Visa (Apple Pay EMV),4.0,"0B04($2.00), 0B04($2.00)",2,2024-01-07
17974941238,2024-01-07 17:57:00,Cash,1.0,0B06($1.00),1,2024-01-07
17979418929,2024-01-08 15:31:00,Visa (EMV Contactless),1.5,0D03($1.50),1,2024-01-08
17979586059,2024-01-08 16:12:00,Cash,1.5,0D04($1.50),1,2024-01-08
17979587721,2024-01-08 16:13:00,Cash,1.5,0D04($1.50),1,2024-01-08
17979595667,2024-01-08 16:15:00,Cash,1.0,0C02($1.00),1,2024-01-08
17979618383,2024-01-08 16:21:00,Visa (Apple Pay EMV),1.5,0D01($1.50),1,2024-01-08
17979630069,2024-01-08 16:25:00,Cash,1.0,0B06($1.00),1,2024-01-08
17979700942,2024-01-08 16:44:00,Cash,1.5,0D07($1.50),1,2024-01-08
17979837293,2024-01-08 17:24:00,Cash,1.0,0B06($1.00),1,2024-01-08
17979962491,2024-01-08 18:06:00,Cash,1.5,0D06($1.50),1,2024-01-08
17979980812,2024-01-08 18:12:00,Cash,1.0,0B06($1.00),1,2024-01-08
17979979591,2024-01-08 18:12:00,Cash,1.0,0B06($1.00),1,2024-01-08
17979983783,2024-01-08 18:14:00,Cash,1.5,0D00($1.50),1,2024-01-08
17980004950,2024-01-08 18:21:00,Cash,1.0,0B06($1.00),1,2024-01-08
17980002710,2024-01-08 18:21:00,Cash,1.0,0C06($1.00),1,2024-01-08
17980009873,2024-01-08 18:23:00,Visa (Apple Pay EMV),1.0,0B06($1.00),1,2024-01-08
17980307114,2024-01-08 20:33:00,Cash,1.25,0A02($1.25),1,2024-01-08
17980308664,2024-01-08 20:34:00,Cash,1.25,0B00($1.25),1,2024-01-08
17980388973,2024-01-08 21:18:00,Cash,2.0,0F06($2.00),1,2024-01-08
17980520766,2024-01-08 22:47:00,Cash,1.5,0D05($1.50),1,2024-01-08
17984874349,2024-01-09 16:48:00,Visa (EMV Contactless),1.5,0D03($1.50),1,2024-01-09
17984888796,2024-01-09 16:52:00,Visa (Apple Pay EMV),3.0,"0D01($1.50), 0D01($1.50)",2,2024-01-09
17984898352,2024-01-09 16:56:00,Cash,0.5,1101($0.50),1,2024-01-09
17984907525,2024-01-09 16:58:00,Cash,2.0,0F06($2.00),1,2024-01-09
17984908370,2024-01-09 16:59:00,Cash,1.0,0C02($1.00),1,2024-01-09
17984996201,2024-01-09 17:24:00,Visa (EMV Contactless),1.0,0B06($1.00),1,2024-01-09
17985452667,2024-01-09 20:22:00,Visa (Apple Pay EMV),1.5,0D00($1.50),1,2024-01-09
17985454141,2024-01-09 20:23:00,Cash,1.25,0A00($1.25),1,2024-01-09
17985468302,2024-01-09 20:30:00,Visa (Apple Pay EMV),1.5,0E04($1.50),1,2024-01-09
17990041458,2024-01-10 15:35:00,Visa (EMV Contactless),1.5,0D03($1.50),1,2024-01-10
17990424377,2024-01-10 17:13:00,Cash,1.5,0E03($1.50),1,2024-01-10
17990577884,2024-01-10 18:01:00,Cash,1.0,0C00($1.00),1,2024-01-10
17990608018,2024-01-10 18:10:00,Cash,1.5,0D01($1.50),1,2024-01-10
17991101847,2024-01-10 21:52:00,Cash,1.25,0E02($1.25),1,2024-01-10
17996060691,2024-01-11 17:05:00,Visa (EMV Contactless),1.5,0D03($1.50),1,2024-01-11
17996084081,2024-01-11 17:11:00,Visa (EMV Contactless),1.0,0C02($1.00),1,2024-01-11
17996267468,2024-01-11 18:07:00,Cash,1.0,0C02($1.00),1,2024-01-11
17996271249,2024-01-11 18:08:00,Cash,1.0,0C06($1.00),1,2024-01-11
17996285468,2024-01-11 18:13:00,Cash,1.0,0C06($1.00),1,2024-01-11
17996618805,2024-01-11 20:24:00,Visa (Apple Pay EMV),1.5,0D04($1.50),1,2024-01-11
17996846957,2024-01-11 22:32:00,Visa (Apple Pay EMV),1.5,0D07($1.50),1,2024-01-11
17998832528,2024-01-12 09:24:00,Cash,2.0,0B04($2.00),1,2024-01-12
18001103118,2024-01-12 16:27:00,Visa (Apple Pay EMV),1.0,0D01($1.00),1,2024-01-12
18001318475,2024-01-12 17:30:00,Visa (EMV Contactless),1.5,0D04($1.50),1,2024-01-12
18001419066,2024-01-12 18:02:00,Cash,1.0,0C06($1.00),1,2024-01-12
18001419451,2024-01-12 18:02:00,Cash,1.0,0C06($1.00),1,2024-01-12
18001987751,2024-01-12 22:31:00,Cash,1.5,0E06($1.50),1,2024-01-12
18001988553,2024-01-12 22:32:00,Cash,2.0,0F06($2.00),1,2024-01-12
18001989629,2024-01-12 22:33:00,Cash,1.0,0D01($1.00),1,2024-01-12
18002128531,2024-01-13 00:35:00,Visa (EMV Contactless),1.0,0E00($1.00),1,2024-01-13
18002132764,2024-01-13 00:40:00,Visa (Apple Pay EMV),1.5,0E01($1.50),1,2024-01-13
18005405811,2024-01-13 23:02:00,Visa (Apple Pay EMV),4.5,"0E07($1.50), 0E07($1.50), 0E07($1.50)",3,2024-01-13
18007656454,2024-01-14 16:43:00,Cash,0.75,0D00($0.75),1,2024-01-14
18007657909,2024-01-14 16:43:00,Cash,0.75,0D00($0.75),1,2024-01-14
18007667113,2024-01-14 16:47:00,Cash,1.5,0D04($1.50),1,2024-01-14
18008099668,2024-01-14 20:23:00,Visa (Apple Pay EMV),1.5,0E04($1.50),1,2024-01-14
18008106055,2024-01-14 20:28:00,Visa (Apple Pay EMV),1.5,0E04($1.50),1,2024-01-14
18008207552,2024-01-14 21:41:00,Visa (Google Pay EMV),3.0,"0E06($1.50), 0E06($1.50)",2,2024-01-14
18011662865,2024-01-15 16:53:00,MasterCard (Swiped),1.5,0D06($1.50),1,2024-01-15
18011675828,2024-01-15 16:57:00,MasterCard (Swiped),1.5,0D06($1.50),1,2024-01-15
18011767195,2024-01-15 17:28:00,Visa (EMV Contactless),1.5,0D03($1.50),1,2024-01-15
18011853672,2024-01-15 18:01:00,Cash,1.5,0D07($1.50),1,2024-01-15
18011864810,2024-01-15 18:05:00,Cash,1.5,0D07($1.50),1,2024-01-15
18012282743,2024-01-15 21:37:00,Visa (Apple Pay EMV),1.0,0D01($1.00),1,2024-01-15
18016586495,2024-01-16 16:39:00,MasterCard (Swiped),1.5,0D05($1.50),1,2024-01-16
18016772587,2024-01-16 17:32:00,Visa (EMV Contactless),1.5,0D03($1.50),1,2024-01-16
18016814417,2024-01-16 17:45:00,Visa (Apple Pay EMV),1.5,0E04($1.50),1,2024-01-16
18016858782,2024-01-16 18:01:00,Cash,1.5,0D07($1.50),1,2024-01-16
18016983803,2024-01-16 18:45:00,Visa (EMV Contactless),1.25,0A00($1.25),1,2024-01-16
18017083584,2024-01-16 19:25:00,MasterCard (Swiped),1.0,0C06($1.00),1,2024-01-16
18017092141,2024-01-16 19:29:00,MasterCard (Swiped),1.25,0A00($1.25),1,2024-01-16
18017107525,2024-01-16 19:35:00,Visa (Apple Pay EMV),2.0,0F06($2.00),1,2024-01-16
18017154448,2024-01-16 19:57:00,Cash,1.5,0D04($1.50),1,2024-01-16
18017204456,2024-01-16 20:20:00,Cash,1.5,0D07($1.50),1,2024-01-16
18021995889,2024-01-17 16:06:00,Visa (Apple Pay Cash EMV),1.5,0D07($1.50),1,2024-01-17
18022120312,2024-01-17 16:37:00,Cash,0.75,0D00($0.75),1,2024-01-17
18022211971,2024-01-17 17:01:00,Visa (EMV Contactless),1.5,0D03($1.50),1,2024-01-17
18022457955,2024-01-17 18:13:00,Visa (Apple Pay EMV),1.5,0E04($1.50),1,2024-01-17
18022460991,2024-01-17 18:15:00,Cash,2.0,0F06($2.00),1,2024-01-17
18022520189,2024-01-17 18:35:00,Visa (Apple Pay EMV),1.0,0A06($1.00),1,2024-01-17
18022894030,2024-01-17 21:18:00,Visa (Apple Pay EMV),1.5,0E04($1.50),1,2024-01-17
18022895168,2024-01-17 21:19:00,Visa (Apple Pay EMV),1.5,0D04($1.50),1,2024-01-17
18025816926,2024-01-18 10:45:00,Visa (Apple Pay EMV),4.0,"0F06($2.00), 0F06($2.00)",2,2024-01-18
18027055611,2024-01-18 13:46:00,Visa (Apple Pay EMV),4.25,"0E04($1.50), 0A02($1.25), 0E04($1.50)",3,2024-01-18
18028036057,2024-01-18 17:17:00,Visa (EMV Contactless),1.5,0D03($1.50),1,2024-01-18
18028188322,2024-01-18 18:03:00,Visa (Apple Pay EMV),1.5,0D07($1.50),1,2024-01-18
18028211848,2024-01-18 18:10:00,Visa (Apple Pay EMV),2.0,0B02($2.00),1,2024-01-18
18028342820,2024-01-18 18:56:00,Cash,1.0,0D01($1.00),1,2024-01-18
18028618848,2024-01-18 20:54:00,Cash,1.5,0D04($1.50),1,2024-01-18
18028802697,2024-01-18 22:38:00,Visa (Apple Pay EMV),4.0,"0B02($2.00), 0B02($2.00)",2,2024-01-18
18029053590,2024-01-19 02:05:00,Cash,0.75,0D00($0.75),1,2024-01-19
18033277212,2024-01-19 17:16:00,Visa (Apple Pay EMV),1.5,0E04($1.50),1,2024-01-19
18033328313,2024-01-19 17:32:00,Visa (EMV Contactless),1.5,0D03($1.50),1,2024-01-19
18033730607,2024-01-19 19:58:00,Visa (Apple Pay EMV),1.0,0D01($1.00),1,2024-01-19
18033735276,2024-01-19 20:00:00,Visa (Apple Pay EMV),1.0,0D01($1.00),1,2024-01-19
18033995297,2024-01-19 22:22:00,Visa (Apple Pay Cash EMV),2.0,"0D01($1.00), 0D02($1.00)",2,2024-01-19
18034219701,2024-01-20 01:46:00,Cash,1.5,0D07($1.50),1,2024-01-20
18037048593,2024-01-20 18:01:00,Visa (Apple Pay EMV),1.5,0E04($1.50),1,2024-01-20
18037160695,2024-01-20 18:51:00,Cash,1.5,0D04($1.50),1,2024-01-20
18037298989,2024-01-20 20:01:00,Cash,1.5,0D04($1.50),1,2024-01-20
18037459499,2024-01-20 21:45:00,Visa (Apple Pay Cash EMV),1.5,0E04($1.50),1,2024-01-20
18037516248,2024-01-20 22:30:00,Visa (Apple Pay EMV),1.5,0E01($1.50),1,2024-01-20
18039433909,2024-01-21 14:36:00,Visa (EMV Contactless),1.5,0D03($1.50),1,2024-01-21
18039690134,2024-01-21 16:01:00,Cash,1.5,0D04($1.50),1,2024-01-21
18039695831,2024-01-21 16:03:00,Cash,1.5,0E04($1.50),1,2024-01-21
18039847594,2024-01-21 17:01:00,Visa (EMV Contactless),1.0,0C00($1.00),1,2024-01-21
18039865920,2024-01-21 17:09:00,Cash,2.0,0F06($2.00),1,2024-01-21
18040005334,2024-01-21 18:12:00,Visa (Apple Pay EMV),1.0,0E00($1.00),1,2024-01-21
18040199075,2024-01-21 19:58:00,Visa (Apple Pay EMV),2.0,0F06($2.00),1,2024-01-21
18040260111,2024-01-21 20:37:00,Cash,1.0,0A06($1.00),1,2024-01-21
18044856518,2024-01-22 16:16:00,Cash,1.0,0D01($1.00),1,2024-01-22
18044856235,2024-01-22 16:17:00,Cash,1.0,0D01($1.00),1,2024-01-22
18045040848,2024-01-22 17:04:00,Cash,1.0,0B06($1.00),1,2024-01-22
18045041740,2024-01-22 17:05:00,Cash,1.5,0D06($1.50),1,2024-01-22
18045069529,2024-01-22 17:12:00,Visa (Apple Pay EMV),3.0,"0E04($1.50), 0E04($1.50)",2,2024-01-22
18045084462,2024-01-22 17:17:00,Visa (EMV Contactless),1.5,0D03($1.50),1,2024-01-22
18045255503,2024-01-22 18:10:00,Cash,2.0,0B02($2.00),1,2024-01-22
18045259766,2024-01-22 18:11:00,Visa (Apple Pay EMV),2.0,0F06($2.00),1,2024-01-22
18045262594,2024-01-22 18:12:00,Visa (Apple Pay EMV),3.0,"0D06($1.50), 0D06($1.50)",2,2024-01-22
18045264959,2024-01-22 18:13:00,Visa (Apple Pay EMV),2.0,0E05($2.00),1,2024-01-22
18045556386,2024-01-22 20:07:00,Cash,2.0,0F06($2.00),1,2024-01-22
18050526068,2024-01-23 16:15:00,Visa (Apple Pay EMV),3.75,"0B00($0.75), 0D07($1.50), 0D07($1.50)",3,2024-01-23
18050820181,2024-01-23 17:32:00,Visa (EMV Contactless),1.5,0D03($1.50),1,2024-01-23
18050948877,2024-01-23 18:12:00,Cash,1.0,0D02($1.00),1,2024-01-23
18057355593,2024-01-24 23:07:00,Visa (Apple Pay EMV),1.0,0D02($1.00),1,2024-01-24
18061903688,2024-01-25 15:18:00,Cash,1.0,0D01($1.00),1,2024-01-25
18062455190,2024-01-25 17:30:00,Cash,1.0,0D02($1.00),1,2024-01-25
18062457395,2024-01-25 17:31:00,Visa (Apple Pay EMV),4.5,"0D07($1.50), 0D07($1.50), 0D07($1.50)",3,2024-01-25
18063200011,2024-01-25 22:36:00,Visa (Apple Pay EMV),2.0,0F06($2.00),1,2024-01-25
18067612282,2024-01-26 15:53:00,Visa (Apple Pay EMV),1.0,0D01($1.00),1,2024-01-26
18067984550,2024-01-26 17:32:00,Cash,1.0,0D02($1.00),1,2024-01-26
18068344030,2024-01-26 19:34:00,Visa (Apple Pay EMV),0.75,0B00($0.75),1,2024-01-26
18068433084,2024-01-26 20:11:00,Visa (Apple Pay EMV),1.5,0D04($1.50),1,2024-01-26
18068868494,2024-01-27 00:52:00,Visa (Apple Pay EMV),1.5,0D06($1.50),1,2024-01-27
18074683099,2024-01-28 17:59:00,Visa (Apple Pay EMV),1.5,0E01($1.50),1,2024-01-28
18074739209,2024-01-28 18:26:00,Visa (EMV Contactless),1.0,0D02($1.00),1,2024-01-28
18080298918,2024-01-29 19:20:00,Visa (Apple Pay EMV),3.75,"0E00($1.00), 0E01($1.50), 0E02($1.25)",3,2024-01-29
18080306959,2024-01-29 19:23:00,Visa (Apple Pay EMV),4.5,"0E07($1.50), 0E07($1.50), 0E07($1.50)",3,2024-01-29
18085413402,2024-01-30 16:00:00,Cash,1.0,0D01($1.00),1,2024-01-30
18085638907,2024-01-30 16:54:00,Visa (Apple Pay EMV),2.0,0F06($2.00),1,2024-01-30
18085642203,2024-01-30 16:56:00,Cash,1.0,0D01($1.00),1,2024-01-30
18085884504,2024-01-30 18:03:00,Visa (Apple Pay EMV),2.0,"0C00($1.00), 0D01($1.00)",2,2024-01-30
18085892310,2024-01-30 18:05:00,Visa (EMV Contactless),1.0,0D02($1.00),1,2024-01-30
18086249455,2024-01-30 20:19:00,Visa (Apple Pay EMV),1.5,0D04($1.50),1,2024-01-30
18086295683,2024-01-30 20:41:00,Visa (Apple Pay EMV),2.5,"0E01($1.50), 0E00($1.00)",2,2024-01-30
18086399887,2024-01-30 21:33:00,Visa (Apple Pay EMV),2.5,"0E00($1.00), 0E01($1.50)",2,2024-01-30
18089170558,2024-01-31 10:23:00,Visa (EMV Contactless),1.0,0D02($1.00),1,2024-01-31
18091292935,2024-01-31 16:03:00,Visa (Apple Pay EMV),2.0,0F06($2.00),1,2024-01-31
18091515832,2024-01-31 16:58:00,Visa (Apple Pay EMV),2.0,0F06($2.00),1,2024-01-31
18091959225,2024-01-31 19:15:00,Cash,1.0,0E00($1.00),1,2024-01-31
18092252376,2024-01-31 21:25:00,Visa (Apple Pay Cash EMV),3.0,"0D05($1.50), 0E01($1.50)",2,2024-01-31
18092369815,2024-01-31 22:31:00,Visa (Apple Pay EMV),1.0,0A06($1.00),1,2024-01-31
18097359464,2024-02-01 16:33:00,Visa (EMV Contactless),1.0,0D02($1.00),1,2024-02-01
18097357484,2024-02-01 16:33:00,Visa (EMV Contactless),1.25,0A02($1.25),1,2024-02-01
18097432677,2024-02-01 16:51:00,Visa (Apple Pay EMV),6.0,"0F06($2.00), 0F06($2.00), 0F06($2.00)",3,2024-02-01
18097718046,2024-02-01 18:10:00,Visa (Apple Pay EMV),1.0,0A06($1.00),1,2024-02-01
18097787175,2024-02-01 18:32:00,Visa (Apple Pay EMV),2.0,0F06($2.00),1,2024-02-01
18097990617,2024-02-01 19:46:00,Visa (EMV Contactless),1.0,0A06($1.00),1,2024-02-01
18098292110,2024-02-01 22:10:00,Visa (Apple Pay EMV),2.0,0F06($2.00),1,2024-02-01
18102431357,2024-02-02 14:33:00,Visa (EMV Contactless),1.25,0A02($1.25),1,2024-02-02
18102819532,2024-02-02 16:03:00,Visa (Apple Pay EMV),4.0,"0A02($1.25), 0D06($1.50), 0A02($1.25)",3,2024-02-02
18103043562,2024-02-02 17:01:00,Visa (EMV Contactless),1.0,0D02($1.00),1,2024-02-02
18103261626,2024-02-02 18:04:00,Cash,1.5,0D04($1.50),1,2024-02-02
18103272217,2024-02-02 18:08:00,Cash,1.0,0D01($1.00),1,2024-02-02
18103345235,2024-02-02 18:32:00,Cash,1.25,0A02($1.25),1,2024-02-02
18103883480,2024-02-02 22:44:00,Visa (Apple Pay EMV),4.25,"0A02($1.25), 0D06($1.50), 0D06($1.50)",3,2024-02-02
18103888849,2024-02-02 22:47:00,Visa (Apple Pay EMV),1.0,0D02($1.00),1,2024-02-02
18106994081,2024-02-03 18:14:00,Visa (Apple Pay EMV),1.5,0E01($1.50),1,2024-02-03
18107469523,2024-02-03 22:46:00,Cash,1.5,0D06($1.50),1,2024-02-03
18110154990,2024-02-04 20:04:00,Visa (Apple Pay EMV),1.75,"0B00($0.75), 0A06($1.00)",2,2024-02-04
18110196741,2024-02-04 20:30:00,Visa (Apple Pay EMV),1.5,0D06($1.50),1,2024-02-04
18110322743,2024-02-04 22:00:00,Visa (Apple Pay EMV),4.5,"0D05($1.50), 0E01($1.50), 0D05($1.50)",3,2024-02-04
18110362209,2024-02-04 22:32:00,Visa (Apple Pay EMV),1.5,0E06($1.50),1,2024-02-04
18115334407,2024-02-05 17:50:00,Visa (EMV Contactless),2.0,"0E00($1.00), 0E00($1.00)",2,2024-02-05
18115758899,2024-02-05 20:31:00,Visa (Apple Pay EMV),1.0,0D01($1.00),1,2024-02-05
18115760798,2024-02-05 20:33:00,Visa (Apple Pay EMV),1.0,0D02($1.00),1,2024-02-05
18115972672,2024-02-05 22:31:00,Cash,1.0,0D01($1.00),1,2024-02-05
18120916601,2024-02-06 16:44:00,Visa (EMV Contactless),3.0,"0D05($1.50), 0D05($1.50)",2,2024-02-06
18121233559,2024-02-06 18:14:00,Visa (Apple Pay EMV),4.25,"0E01($1.50), 0E02($1.25), 0D05($1.50)",3,2024-02-06
18121606536,2024-02-06 20:40:00,Visa (Apple Pay EMV),2.75,"0E05($2.00), 0B00($0.75)",2,2024-02-06
18127465240,2024-02-07 20:37:00,Visa (Apple Pay EMV),1.0,0D02($1.00),1,2024-02-07
18132588444,2024-02-08 16:13:00,Visa (Apple Pay EMV),1.25,0E02($1.25),1,2024-02-08
18132735378,2024-02-08 16:50:00,Visa (Apple Pay EMV),1.5,0D05($1.50),1,2024-02-08
18132841776,2024-02-08 17:16:00,Cash,1.0,0D02($1.00),1,2024-02-08
18133245352,2024-02-08 19:26:00,Cash,1.0,0C02($1.00),1,2024-02-08
18133517794,2024-02-08 21:29:00,Visa (Apple Pay EMV),2.5,"0E02($1.25), 0E02($1.25)",2,2024-02-08
18138904926,2024-02-09 20:35:00,Visa (Apple Pay EMV),1.0,0D02($1.00),1,2024-02-09
18140469623,2024-02-10 10:12:00,Cash,1.0,0D01($1.00),1,2024-02-10
18142161506,2024-02-10 18:03:00,Cash,1.5,0E03($1.50),1,2024-02-10
18142297479,2024-02-10 19:02:00,Cash,2.0,0E05($2.00),1,2024-02-10
18149605596,2024-02-12 15:44:00,Visa (EMV Contactless),1.5,0E01($1.50),1,2024-02-12
18150118153,2024-02-12 18:03:00,Visa (EMV Contactless),1.5,0E03($1.50),1,2024-02-12
18155193495,2024-02-13 16:08:00,Visa (Apple Pay EMV),3.25,"0E02($1.25), 0E05($2.00)",2,2024-02-13
18155617200,2024-02-13 18:07:00,Visa (Apple Pay EMV),5.0,"0E05($2.00), 0E06($1.50), 0E04($1.50)",3,2024-02-13
18155623051,2024-02-13 18:08:00,Visa (Apple Pay EMV),1.0,0C02($1.00),1,2024-02-13
18155631027,2024-02-13 18:11:00,Visa (Apple Pay EMV),4.0,"0E05($2.00), 0E05($2.00)",2,2024-02-13
18155637689,2024-02-13 18:13:00,Cash,1.5,0E06($1.50),1,2024-02-13
18155753758,2024-02-13 18:55:00,Visa (Apple Pay EMV),2.0,0E05($2.00),1,2024-02-13
18155877918,2024-02-13 19:42:00,Visa (Apple Pay EMV),2.0,0E05($2.00),1,2024-02-13
18160878940,2024-02-14 17:55:00,Cash,1.5,0E06($1.50),1,2024-02-14
18160879773,2024-02-14 17:55:00,Cash,1.0,0D01($1.00),1,2024-02-14
18160956983,2024-02-14 18:21:00,Cash,1.0,0C02($1.00),1,2024-02-14
18161210091,2024-02-14 20:02:00,Cash,1.5,0E03($1.50),1,2024-02-14
18161207164,2024-02-14 20:03:00,Cash,1.5,0E07($1.50),1,2024-02-14
18161239159,2024-02-14 20:17:00,Visa (Apple Pay EMV),1.0,0D02($1.00),1,2024-02-14
18166137774,2024-02-15 16:06:00,Cash,1.5,0E07($1.50),1,2024-02-15
18166501391,2024-02-15 17:40:00,Cash,1.25,0E02($1.25),1,2024-02-15
18166502819,2024-02-15 17:41:00,Cash,1.25,0E02($1.25),1,2024-02-15
18166560810,2024-02-15 17:59:00,Cash,1.5,0E03($1.50),1,2024-02-15
18166566296,2024-02-15 18:00:00,Cash,1.5,0E03($1.50),1,2024-02-15
18166574806,2024-02-15 18:03:00,Cash,1.25,0E02($1.25),1,2024-02-15
18167023483,2024-02-15 20:56:00,Cash,1.0,0C00($1.00),1,2024-02-15
18171663774,2024-02-16 16:40:00,Visa (EMV Contactless),1.0,0D02($1.00),1,2024-02-16
18171776879,2024-02-16 17:11:00,Cash,1.25,0E02($1.25),1,2024-02-16
18175255662,2024-02-17 16:08:00,Visa (Apple Pay EMV),4.5,"0E06($1.50), 0E06($1.50), 0E06($1.50)",3,2024-02-17
18175417505,2024-02-17 17:02:00,Cash,1.25,0E02($1.25),1,2024-02-17
18182907732,2024-02-19 15:59:00,Cash,1.0,0C02($1.00),1,2024-02-19
18188451933,2024-02-20 15:33:00,Cash,1.5,0E06($1.50),1,2024-02-20
18188476986,2024-02-20 15:39:00,Cash,1.5,0E03($1.50),1,2024-02-20
18188479638,2024-02-20 15:40:00,Cash,1.5,0E07($1.50),1,2024-02-20
18188540768,2024-02-20 15:54:00,Visa (Apple Pay EMV),1.25,0E02($1.25),1,2024-02-20
18200746242,2024-02-22 17:54:00,Cash,1.25,0E02($1.25),1,2024-02-22
18206353579,2024-02-23 18:04:00,Cash,1.5,0E03($1.50),1,2024-02-23
18206417546,2024-02-23 18:24:00,Visa (Apple Pay EMV),1.5,0E07($1.50),1,2024-02-23
18206415489,2024-02-23 18:24:00,Visa (Apple Pay EMV),4.0,"0E02($1.25), 0E02($1.25), 0E06($1.50)",3,2024-02-23
18206433429,2024-02-23 18:30:00,Visa (Apple Pay EMV),3.5,"0E07($1.50), 0C02($1.00), 0C00($1.00)",3,2024-02-23
18206681185,2024-02-23 20:03:00,Visa (Apple Pay EMV),3.5,"0C00($1.00), 0C02($1.00), 0E07($1.50)",3,2024-02-23
18206698628,2024-02-23 20:10:00,Cash,1.5,0E07($1.50),1,2024-02-23
18206933124,2024-02-23 22:12:00,Visa (Apple Pay EMV),3.0,"0E07($1.50), 0E03($1.50)",2,2024-02-23
18210312461,2024-02-24 19:15:00,Visa (Apple Pay Cash EMV),1.5,0E03($1.50),1,2024-02-24
18230208055,2024-02-28 18:15:00,Cash,1.0,0C00($1.00),1,2024-02-28
18254106377,2024-03-04 18:18:00,Visa (Apple Pay EMV),2.0,0A04($2.00),1,2024-03-04
